Ex/EFF Date,Type,Cash Amount,Declaration Date,Record Date,Payment Date
3/21/2024,Cash,0.16,12/13/2023,3/22/2024,3/27/2024
12/20/2023,Cash,1.21,11/25/2022,12/21/2023,12/27/2023
9/26/2023,Cash,1.14,11/25/2022,9/27/2023,10/2/2023
6/7/2023,Cash,0.76,11/25/2022,6/8/2023,6/13/2023
3/23/2023,Cash,0.94,11/25/2022,3/24/2023,3/29/2023
12/13/2022,Cash,0.13,12/23/2021,12/14/2022,12/19/2022
12/13/2022,Cash,0.96,12/12/2022,12/14/2022,12/19/2022
9/26/2022,Cash,1.35,12/23/2021,9/27/2022,9/30/2022
6/9/2022,Cash,0.79,12/23/2021,6/10/2022,6/15/2022
3/24/2022,Cash,0.85,12/23/2021,3/25/2022,3/30/2022
12/13/2021,Cash,0.97,12/11/2020,12/14/2021,12/17/2021
9/24/2021,Cash,0.98,12/11/2020,9/27/2021,9/30/2021
6/10/2021,Cash,0.74,12/11/2020,6/11/2021,6/16/2021
3/25/2021,Cash,0.67,12/11/2020,3/26/2021,3/31/2021
12/14/2020,Cash,0.66,12/12/2019,12/15/2020,12/18/2020
9/23/2020,Cash,0.83,12/12/2019,9/24/2020,9/29/2020
6/15/2020,Cash,0.65,12/12/2019,6/16/2020,6/19/2020
3/25/2020,Cash,0.80,12/12/2019,3/26/2020,3/31/2020
12/16/2019,Cash,0.91,12/26/2018,12/17/2019,12/20/2019
9/24/2019,Cash,0.86,12/26/2018,9/25/2019,9/30/2019
6/17/2019,Cash,0.88,12/26/2018,6/18/2019,6/21/2019
3/20/2019,Cash,0.70,12/26/2018,3/21/2019,3/26/2019
12/17/2018,Cash,0.47,1/11/2018,12/18/2018,12/21/2018
9/26/2018,Cash,0.84,1/11/2018,9/27/2018,10/2/2018
6/26/2018,Cash,0.85,1/11/2018,6/27/2018,7/2/2018
3/22/2018,Cash,0.70,1/11/2018,3/23/2018,3/28/2018
12/19/2017,Cash,0.49,12/18/2017,12/20/2017,12/26/2017
12/19/2017,Cash,0.49,12/29/2016,12/20/2017,12/26/2017
9/26/2017,Cash,0.63,9/25/2017,9/27/2017,9/29/2017
6/27/2017,Cash,0.60,6/26/2017,6/29/2017,6/30/2017
3/24/2017,Cash,0.53,3/23/2017,3/28/2017,3/30/2017
12/21/2016,Cash,0.80,12/20/2016,12/23/2016,12/28/2016
9/26/2016,Cash,0.71,9/23/2016,9/28/2016,9/30/2016
6/21/2016,Cash,0.61,6/20/2016,6/23/2016,6/27/2016
3/23/2016,Cash,0.53,3/22/2016,3/28/2016,3/30/2016
12/24/2015,Cash,0.69,12/23/2015,12/29/2015,12/31/2015
9/25/2015,Cash,0.53,9/24/2015,9/29/2015,10/1/2015
6/24/2015,Cash,0.47,6/23/2015,6/26/2015,6/30/2015
3/25/2015,Cash,0.48,3/24/2015,3/27/2015,3/31/2015
12/24/2014,Cash,0.67,12/23/2014,12/29/2014,12/31/2014
9/24/2014,Cash,0.45,9/23/2014,9/26/2014,9/30/2014
6/24/2014,Cash,0.39,6/23/2014,6/26/2014,6/30/2014
3/25/2014,Cash,0.44,3/24/2014,3/27/2014,3/31/2014
12/23/2013,Cash,0.48,12/20/2013,12/26/2013,12/30/2013
9/24/2013,Cash,0.45,9/23/2013,9/26/2013,9/30/2013
6/26/2013,Cash,0.44,6/25/2013,6/28/2013,7/2/2013
3/25/2013,Cash,0.35,3/22/2013,3/27/2013,4/1/2013
12/19/2012,Cash,0.59,12/18/2012,12/21/2012,12/26/2012
9/25/2012,Cash,0.32,9/24/2012,9/27/2012,10/1/2012
6/19/2012,Cash,0.29,6/18/2012,6/21/2012,6/25/2012
3/26/2012,Cash,0.26,3/23/2012,3/28/2012,3/30/2012
12/22/2011,Cash,0.36,12/21/2011,12/27/2011,12/29/2011
9/26/2011,Cash,0.29,9/23/2011,9/28/2011,9/30/2011
6/23/2011,Cash,0.24,6/22/2011,6/27/2011,6/29/2011
3/25/2011,Cash,0.22,3/24/2011,3/29/2011,3/31/2011
12/23/2010,Cash,0.31,12/22/2010,12/28/2010,12/30/2010
9/24/2010,Cash,0.25,9/23/2010,9/28/2010,9/30/2010
6/23/2010,Cash,0.20,6/22/2010,6/25/2010,6/29/2010
3/25/2010,Cash,0.20,3/24/2010,3/29/2010,3/31/2010
12/24/2009,Cash,0.34,12/23/2009,12/29/2009,12/31/2009
9/23/2009,Cash,0.20,9/22/2009,9/25/2009,9/29/2009
6/23/2009,Cash,0.18,6/22/2009,6/25/2009,6/29/2009
3/25/2009,Cash,0.20,3/24/2009,3/27/2009,3/31/2009
12/24/2008,Cash,0.38,12/23/2008,12/29/2008,12/31/2008
9/25/2008,Cash,0.27,9/24/2008,9/29/2008,9/30/2008
6/24/2008,Cash,0.26,6/23/2008,6/26/2008,6/30/2008
3/25/2008,Cash,0.17,3/24/2008,3/27/2008,3/31/2008
12/27/2007,Cash,0.27,12/26/2007,12/31/2007,1/3/2008
9/26/2007,Cash,0.21,9/25/2007,9/28/2007,10/2/2007
6/29/2007,Cash,0.21,6/28/2007,7/3/2007,7/6/2007
3/26/2007,Cash,0.41,3/23/2007,3/28/2007,3/30/2007
12/21/2006,Cash,0.30,12/20/2006,12/26/2006,12/28/2006
9/27/2006,Cash,0.23,,9/29/2006,10/3/2006
6/23/2006,Cash,0.22,,6/27/2006,6/29/2006
3/27/2006,Cash,0.20,,3/29/2006,3/31/2006
12/23/2005,Cash,0.27,,12/28/2005,12/30/2005
9/26/2005,Cash,0.18,,9/28/2005,9/30/2005
6/21/2005,Cash,0.16,,6/23/2005,6/27/2005
3/28/2005,Cash,0.46,,3/30/2005,4/1/2005
12/27/2004,Cash,0.35,,12/29/2004,12/31/2004
9/27/2004,Cash,0.28,,9/29/2004,10/1/2004
6/28/2004,Cash,0.28,,6/30/2004,7/2/2004
3/29/2004,Cash,0.24,,3/31/2004,4/2/2004
12/31/2003,Cash,0.05,,1/5/2004,1/7/2004
12/15/2003,Cash,0.29,,12/17/2003,12/24/2003
9/15/2003,Cash,0.25,,9/17/2003,9/24/2003
6/16/2003,Cash,0.23,,6/18/2003,6/25/2003
3/10/2003,Cash,0.19,,3/12/2003,3/19/2003
12/16/2002,Cash,0.14,,12/18/2002,12/26/2002
9/16/2002,Cash,0.20,,9/18/2002,9/25/2002
6/17/2002,Cash,0.21,,6/19/2002,6/26/2002
3/11/2002,Cash,0.17,,3/13/2002,3/20/2002
12/17/2001,Cash,0.20,,12/19/2001,12/27/2001
10/2/2001,Cash,0.22,,10/4/2001,10/11/2001
6/11/2001,Cash,0.16,,6/13/2001,6/20/2001
3/12/2001,Cash,0.21,,3/14/2001,3/21/2001
12/13/2000,Cash,0.20,,12/15/2000,12/22/2000
9/20/2000,Cash,0.20,,9/22/2000,9/29/2000
6/21/2000,Cash,0.07,,6/23/2000,6/30/2000
